Date,Value
2009-09-26,5250.0
2009-09-27,5150.0
2009-09-28,6300.0
2009-09-29,4350.0
2009-09-30,4250.0
2009-10-01,4250.0
2009-10-02,2900.0
2009-10-03,2900.0
2009-10-04,2900.0
2009-10-05,2950.0
2009-10-06,3100.0
2009-10-07,3500.0
2009-10-08,3900.0
2009-10-09,3850.0
2009-10-10,3950.0
2009-10-11,8150.0
2009-10-12,7950.0
2009-10-13,2800.0
2009-10-14,4250.0
2009-10-15,3550.0
2009-10-16,2750.0
2009-10-17,3550.0
2009-10-18,4050.0
2009-10-19,5550.0
2009-10-20,9199.88
2009-10-21,4899.76
2009-10-22,4350.0
2009-10-23,3750.0
2009-10-24,15350.0
2009-10-25,3250.0
2009-10-26,16300.0
2009-10-27,16200.0
2009-10-28,3000.0
2009-10-29,4600.0
2009-10-30,3000.0
2009-10-31,1500.0
2009-11-01,1650.0
2009-11-02,1650.0
2009-11-03,3100.0
2009-11-04,18700.0
2009-11-05,2900.0
2009-11-06,3800.0
2009-11-07,3500.0
2009-11-08,3650.0
2009-11-09,3550.0
2009-11-10,93450.0
2009-11-11,93200.0
2009-11-12,4100.0
2009-11-13,4150.0
2009-11-14,3950.0
2009-11-15,5000.0
2009-11-16,4550.0
2009-11-17,4600.0
2009-11-18,3650.0
2009-11-19,48450.0
2009-11-20,4300.0
2009-11-21,5000.0
2009-11-22,4800.0
2009-11-23,4800.0
2009-11-24,4250.0
2009-11-25,3900.0
2009-11-26,4200.0
2009-11-27,3900.0
2009-11-28,2900.0
2009-11-29,3000.0
2009-11-30,3300.0
2009-12-01,14950.0
2009-12-02,4700.0
2009-12-03,2450.0
2009-12-04,2600.0
2009-12-05,4100.0
2009-12-06,4700.0
2009-12-07,7450.0
2009-12-08,6750.0
2009-12-09,5220.0
2009-12-10,6250.0
2009-12-11,5600.0
2009-12-12,5200.0
2009-12-13,37945.7
2009-12-14,37645.7
2009-12-15,6809.0
2009-12-16,8300.0
2009-12-17,8749.5
2009-12-18,11250.0
2009-12-19,8750.0
2009-12-20,8750.0
2009-12-21,7600.0
2009-12-22,8450.0
2009-12-23,7700.0
2009-12-24,7900.0
2009-12-25,7950.0
2009-12-26,8700.0
2009-12-27,6900.0
2009-12-28,8200.0
2009-12-29,8550.0
2009-12-30,7500.0
2009-12-31,5950.0
2010-01-01,6650.0
2010-01-02,8150.0
2010-01-03,30304.35
2010-01-04,29854.35
2010-01-05,7900.0
2010-01-06,7950.0
2010-01-07,7700.0
2010-01-08,7400.0
2010-01-09,9550.0
2010-01-10,9500.0
2010-01-11,19099.88
2010-01-12,7958.0
2010-01-13,8258.0
2010-01-14,7200.0
2010-01-15,6900.74
2010-01-16,6501.0
2010-01-17,6500.0
2010-01-18,6000.0
2010-01-19,6200.0
2010-01-20,9588.29
2010-01-21,7700.0
2010-01-22,6900.0
2010-01-23,7351.0
2010-01-24,13450.0
2010-01-25,13850.0
2010-01-26,9050.0
2010-01-27,10500.0
2010-01-28,9900.0
2010-01-29,9800.0
2010-01-30,11950.0
2010-01-31,9350.0
2010-02-01,7100.0
2010-02-02,13500.0
2010-02-03,13800.0
2010-02-04,26099.0
2010-02-05,10850.0
2010-02-06,11700.0
2010-02-07,17603.0
2010-02-08,10650.0
2010-02-09,31250.0
2010-02-10,9700.0
2010-02-11,18200.0
2010-02-12,16800.0
2010-02-13,35474.51
2010-02-14,12450.0
2010-02-15,13349.98
2010-02-16,65173.13
2010-02-17,18911.74
2010-02-18,13299.0
2010-02-19,11150.03
2010-02-20,12266.83
2010-02-21,17416.83
2010-02-22,12600.0
2010-02-23,14800.0
2010-02-24,13850.0
2010-02-25,29349.0
2010-02-26,9101.0
2010-02-27,9051.0
2010-02-28,10300.0
2010-03-01,12400.0
2010-03-02,11400.0
2010-03-03,19400.0
2010-03-04,27900.0
2010-03-05,8700.0
2010-03-06,16250.0
2010-03-07,15845.18
2010-03-08,15295.18
2010-03-09,8850.0
2010-03-10,11749.99
2010-03-11,9850.0
2010-03-12,9800.0
2010-03-13,7800.0
2010-03-14,7800.0
2010-03-15,6950.0
2010-03-16,8301.0
2010-03-17,8050.0
2010-03-18,15470.0
2010-03-19,13696.0
2010-03-20,14550.0
2010-03-21,11500.0
2010-03-22,13960.59
2010-03-23,14336.93
2010-03-24,33800.0
2010-03-25,12351.0
2010-03-26,13850.0
2010-03-27,11600.0
2010-03-28,13250.0
2010-03-29,13200.0
2010-03-30,11400.0
2010-03-31,10924.2
2010-04-01,9800.0
2010-04-02,10023.48
2010-04-03,10500.0
2010-04-04,12000.0
2010-04-05,19633.45
2010-04-06,15153.14
2010-04-07,15153.14
2010-04-08,11424.01
2010-04-09,53193.0
2010-04-10,27909.05
2010-04-11,43764.61
2010-04-12,11577.0
2010-04-13,11810.0
2010-04-14,114696.12
2010-04-15,27931.63
2010-04-16,23012.68
2010-04-17,25304.6
2010-04-18,43832.61
2010-04-19,36021.87
2010-04-20,15308.81
2010-04-21,31902.85
2010-04-22,29492.85
2010-04-23,19781.1
2010-04-24,21180.8
2010-04-25,23845.8
2010-04-26,22343.93
2010-04-27,16271.87
2010-04-28,17422.54
2010-04-29,40960.32
2010-04-30,41344.6
2010-05-01,14348.6
2010-05-02,15751.0
2010-05-03,12603.99
2010-05-04,25650.12
2010-05-05,17099.97
2010-05-06,49545.01
2010-05-07,40444.0
2010-05-08,31698.66
2010-05-09,12842.67
2010-05-10,15263.78
2010-05-11,15700.0
2010-05-12,26670.11
2010-05-13,17307.78
2010-05-14,9270.03
2010-05-15,7488.64
2010-05-16,8138.64
2010-05-17,16526.0
2010-05-18,25418.51
2010-05-19,23504.61
2010-05-20,15512.96
2010-05-21,56336.75
2010-05-22,54427.53
2010-05-23,17456.0
2010-05-24,19050.0
2010-05-25,18050.0
2010-05-26,21040.48
2010-05-27,42555.58
2010-05-28,40557.11
2010-05-29,30539.71
2010-05-30,12111.0
2010-05-31,13961.0
2010-06-01,16201.97
2010-06-02,16514.24
2010-06-03,17274.1
2010-06-04,11400.0
2010-06-05,14650.0
2010-06-06,16003.31
2010-06-07,27900.8
2010-06-08,54760.96
2010-06-09,80691.57
2010-06-10,28105.0
2010-06-11,21898.01
2010-06-12,20881.1
2010-06-13,49237.65
2010-06-14,55578.0
2010-06-15,45023.0
2010-06-16,43867.51
2010-06-17,14211.62
2010-06-18,19086.68
2010-06-19,33103.01
2010-06-20,45623.09
2010-06-21,45708.09
2010-06-22,43859.22
2010-06-23,45664.37
2010-06-24,40846.37
2010-06-25,52315.0
2010-06-26,33347.74
2010-06-27,21468.0
2010-06-28,59574.05
2010-06-29,42443.12
2010-06-30,64280.95
2010-07-01,39069.81
2010-07-02,129295.4
2010-07-03,47050.0
2010-07-04,59620.0
2010-07-05,37157.51
2010-07-06,27835.5
2010-07-07,21542.94
2010-07-08,25316.0
2010-07-09,21572.0
2010-07-10,33656.99
2010-07-11,2490710.99
2010-07-12,2633819.97
2010-07-13,457056.19
2010-07-14,108133.06
2010-07-15,116998.92
2010-07-16,44761.64
2010-07-17,42807.91
2010-07-18,44670.09
2010-07-19,38158.85
2010-07-20,36352.93
2010-07-21,38004.54
2010-07-22,40387.12
2010-07-23,41380.86
2010-07-24,53191.9600000004
2010-07-25,54379.25
2010-07-26,83431.72
2010-07-27,40199.2
2010-07-28,67470.65
2010-07-29,38727.83
2010-07-30,29261.82
2010-07-31,275826.17
2010-08-01,80756.88
2010-08-02,75663.37
2010-08-03,43476.55
2010-08-04,63196.35
2010-08-05,51702.01
2010-08-06,34545.32
2010-08-07,24398.03
2010-08-08,20285.05
2010-08-09,79568.17
2010-08-10,64335.31
2010-08-11,66537.41
2010-08-12,45207.98
2010-08-13,32041.73
2010-08-14,30251.74
2010-08-15,41918.88
2010-08-16,72855.15
2010-08-17,56445.99
2010-08-18,32027.42
2010-08-19,36647.52
2010-08-20,39228.41
2010-08-21,45810.46
2010-08-22,29274.46
2010-08-23,28426.11
2010-08-24,24234.76
2010-08-25,30534.45
